team1,team2,winner,venue,city,date,toss_winner
Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,2011-05-15,Kochi Tuskers Kerala
Pune Warriors,Deccan Chargers,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,2011-05-16,Deccan Chargers
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-17,Kings XI Punjab
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-18,Chennai Super Kings
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,2011-05-19,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Mumbai,2011-05-20,Mumbai Indians
Kings XI Punjab,Deccan Chargers,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-21,Kings XI Punjab
Delhi Daredevils,Pune Warriors,No Result,Feroz Shah Kotla,Delhi,2011-05-21,Delhi Daredevils
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011-05-22,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2011-05-22,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2011-05-24,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-25,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-27,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-28,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-04,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Eden Gardens,Kolkata,2012-04-05,Delhi Daredevils
Mumbai Indians,Pune Warriors,Pune Warriors,Wankhede Stadium,Mumbai,2012-04-06,Mumbai Indians
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-06,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2012-04-07,Delhi Daredevils
Deccan Chargers,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2012-04-07,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-08,Kolkata Knight Riders
Pune Warriors,Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2012-04-08,Pune Warriors
Deccan Chargers,Mumbai Indians,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2012-04-09,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2012-04-10,Royal Challengers Bangalore
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Delhi,2012-04-10,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2012-04-11,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-12,Royal Challengers Bangalore
Kings XI Punjab,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-12,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-04-13,Rajasthan Royals
Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi,2012-04-19,Deccan Chargers
Pune Warriors,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2012-04-14,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Eden Gardens,Kolkata,2012-04-15,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,2012-04-15,Rajasthan Royals
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,Mumbai,2012-04-16,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-17,Deccan Chargers
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2012-04-17,Pune Warriors
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-18,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-10,Deccan Chargers
Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-19,Pune Warriors
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-20,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-21,Rajasthan Royals
Delhi Daredevils,Pune Warriors,Pune Warriors,Feroz Shah Kotla,Delhi,2012-04-21,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Mumbai,2012-04-22,Mumbai Indians
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Barabati Stadium,Cuttack,2012-04-22,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,2012-04-23,Rajasthan Royals
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Subrata Roy Sahara Stadium,Pune,2012-04-24,Pune Warriors
Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-25,Kings XI Punjab
Pune Warriors,Deccan Chargers,Deccan Chargers,Subrata Roy Sahara Stadium,Pune,2012-04-26,Deccan Chargers
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi,2012-04-27,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-28,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-04-28,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi,2012-04-29,Delhi Daredevils
Mumbai Indians,Deccan Chargers,Mumbai Indians,Wankhede Stadium,Mumbai,2012-04-29,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-30,Chennai Super Kings
Deccan Chargers,Pune Warriors,Deccan Chargers,Barabati Stadium,Cuttack,2012-05-01,Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,2012-05-01,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2012-05-02,Kings XI Punjab
Pune Warriors,Mumbai Indians,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,2012-05-03,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-04,Chennai Super Kings
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-05-05,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-05-05,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2012-05-06,Mumbai Indians
